objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E06000001,Hartlepool, ,447157,531476,-1.27023005,54.67615891,93559511,71707.40752
2,E06000002,Middlesbrough, ,451141,516887,-1.21098995,54.5446701,53888581.61,43840.86656
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00610995,54.56752014,244820282.1,97993.39101
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30668998,54.55691147,204962233.1,119581.5955
5,E06000005,Darlington, ,428029,515649,-1.56834996,54.5353508,197475687.8,107206.4017
6,E06000006,Halton, ,354246,382146,-2.68852997,53.33423996,79084033.73,77771.10689
7,E06000007,Warrington, ,362744,388456,-2.56167006,53.39162827,180627988.9,114690.8912
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.46359992,53.70080185,137022078.1,65284.99275
9,E06000009,Blackpool, ,332763,436633,-3.02284002,53.8216095,34851505.96,34940.04077
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.30379999,53.76979065,71449804.58,64387.33368
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66202998,53.88122177,2406491188,505424.5076
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13926999,53.52336121,191863775.6,86544.62404
13,E06000013,North Lincolnshire, ,497798,410996,-0.52410001,53.58644867,846296607.2,241106.759
14,E06000014,York, ,460864,452589,-1.07375002,53.96582031,271936983.7,101957.5773
15,E06000015,Derby, ,435609,335375,-1.47188997,52.91463852,78031123.34,50037.74776
16,E06000016,Leicester, ,458946,304594,-1.13039994,52.63592148,73342074.99,51932.00623
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.66764832,393748910.4,125885.1961
18,E06000018,Nottingham, ,456082,339969,-1.16666996,52.9541893,74613562.63,58724.2326
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931003,52.08153915,2179709445,349889.4213
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48940992,52.71416855,290313548.6,118780.0504
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707077,93448486.4,63974.58651
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654008,51.35604095,351123211.8,141684.8112
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.47114944,109700128.5,109722.7888
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.39707184,374639658.1,153769.9939
25,E06000025,South Gloucestershire, ,367559,183196,-2.46921992,51.54671097,496947069.5,143123.7879
26,E06000026,Plymouth, ,249944,58255,-4.1129899,50.40494156,79830126.73,94432.69741
27,E06000027,Torbay, ,289730,64608,-3.5552299,50.4708786,62890840.73,78680.16044
28,E06000028,Bournemouth, ,410069,93928,-1.85863996,50.7448616,46178054.07,48619.72282
29,E06000029,Poole, ,403393,93466,-1.95326996,50.74077988,64767769.8,73803.23011
30,E06000030,Swindon, ,418551,186564,-1.73367,51.57762909,230093376.7,103014.9014
31,E06000031,Peterborough, ,517372,300777,-0.26874,52.5921402,343378153.4,112678.0989
32,E06000032,Luton, ,508606,222559,-0.42319,51.89102173,43352491.59,34569.65994
33,E06000033,Southend-on-Sea, ,587776,186833,0.70690602,51.54914093,41755608.49,43367.39585
34,E06000034,Thurrock, ,562126,181586,0.33490199,51.5099411,163493496.7,94113.74244
35,E06000035,Medway, ,578207,175196,0.563173,51.44770813,193540410.1,189674.4275
36,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.41130066,109384212,62508.08976
37,E06000037,West Berkshire, ,450575,172095,-1.27364004,51.44559097,704169402.8,166802.0256
38,E06000038,Reading, ,470226,173154,-0.99071002,51.45301819,40397990.84,39330.83022
39,E06000039,Slough, ,498920,179246,-0.57617003,51.50350189,32542008.66,44181.38122
40,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67540997,51.48033905,198427174.9,114829.4363
41,E06000041,Wokingham, ,476624,169902,-0.89934999,51.42295837,178965478.1,86865.89889
42,E06000042,Milton Keynes, ,486408,242308,-0.74070001,52.07241058,308626787.9,102960.5714
43,E06000043,Brighton and Hove, ,530279,106849,-0.15079001,50.84648895,82785268.3,59061.90142
44,E06000044,Portsmouth, ,465607,101357,-1.07023001,50.80804825,40364178.02,60863.44659
45,E06000045,Southampton, ,442253,113608,-1.40024996,50.92037964,49900869.64,58966.95374
46,E06000046,Isle of Wight, ,447186,85950,-1.33361995,50.67129898,380164380.2,192524.785
47,E06000047,County Durham, ,410381,532242,-1.8405,54.68513107,2231542404,315238.123
48,E06000049,Cheshire East, ,380510,363462,-2.29298997,53.1679306,1166357384,301225.3747
49,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298004,53.1633606,916700551,307827.7952
50,E06000051,Shropshire, ,350227,302960,-2.73667002,52.6221199,3197275380,580650.6709
51,E06000052,Cornwall, ,212501,64494,-4.64248991,50.45022964,3549500869,1198961.872
52,E06000053,Isles of Scilly, ,91327,11447,-6.3021698,49.92332077,16337568.61,116312.0156
53,E06000054,Wiltshire, ,405209,158863,-1.92660999,51.32883072,3255338122,402006.9344
54,E06000055,Bedford, ,505721,256463,-0.45462999,52.19628143,476408299,131721.2476
55,E06000056,Central Bedfordshire, ,504615,234492,-0.47753999,51.99903107,715665296,232692.7064
56,E06000057,Northumberland, ,395323,600699,-2.07521009,55.30036926,5026214905,584228.7772
57,E07000004,Aylesbury Vale, ,477330,223021,-0.87746,51.90037918,902753229,243091.8463
58,E07000005,Chiltern, ,495432,198692,-0.62111998,51.67890167,196348230.4,87262.68535
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.55944061,141275608.7,85473.90213
60,E07000007,Wycombe, ,482477,197052,-0.80883002,51.66619873,324572079,113202.0033
61,E07000008,Cambridge, ,545420,257901,0.126436,52.20016861,40698796.39,37170.45185
62,E07000009,East Cambridgeshire, ,555577,275765,0.28316301,52.35787964,651279308.4,234016.1862
63,E07000010,Fenland, ,536361,294959,0.009016,52.53543854,546450053.4,187882.1659
64,E07000011,Huntingdonshire, ,521010,274271,-0.22466999,52.35316849,912458404.5,223626.3658
65,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.1080513,901627228.6,257042.8382
66,E07000026,Allerdale, ,317516,532995,-3.28096008,54.68523026,1257798806,332949.2357
67,E07000027,Barrow-in-Furness, ,321750,474171,-3.19975996,54.15737152,77978671.48,120465.2753
68,E07000028,Carlisle, ,348444,565195,-2.80704999,54.97867966,1039297856,274825.2217
69,E07000029,Copeland, ,310871,508741,-3.37664008,54.46619034,737613562.3,233223.3367
70,E07000030,Eden, ,359636,526396,-2.62678003,54.63106918,2156474483,268725.3222
71,E07000031,South Lakeland, ,349265,489554,-2.78108001,54.29906845,1553032015,384091.3771
72,E07000032,Amber Valley, ,436166,348084,-1.46219003,53.02883911,265437867,109036.5348
73,E07000033,Bolsover, ,448666,371548,-1.27227998,53.23875046,160334648.5,96239.21151
74,E07000034,Chesterfield, ,440049,373359,-1.40114999,53.25574875,66035288.73,52617.74858
75,E07000035,Derbyshire Dales, ,419697,358493,-1.70711005,53.1232605,795318061.5,245475.8522
76,E07000036,Erewash, ,443721,338063,-1.35090005,52.9382019,109630047,73547.55601
77,E07000037,High Peak, ,410474,387660,-1.84397995,53.38568878,540253996.8,159632.9601
78,E07000038,North East Derbyshire, ,437369,362955,-1.44253004,53.16242981,275623527.2,161243.8765
79,E07000039,South Derbyshire, ,431434,325365,-1.53494,52.82492065,338128983.6,166772.6459
80,E07000040,East Devon, ,313775,96055,-3.22380996,50.75764847,814361627,218255.0946
81,E07000041,Exeter, ,293236,92003,-3.51372004,50.71780014,47042953.41,47533.95973
82,E07000042,Mid Devon, ,288064,108911,-3.59211993,50.86882019,912897718.4,246408.8467
83,E07000043,North Devon, ,265110,132524,-3.92690992,51.07612991,1086031787,305486.0732
84,E07000044,South Hams, ,270677,54033,-3.81994009,50.37192154,886484968.8,464363.1717
85,E07000045,Teignbridge, ,283069,80251,-3.65395999,50.61019897,673892714.1,187845.7568
86,E07000046,Torridge, ,244206,114405,-4.21730995,50.90802002,985356188.5,313693.3984
87,E07000047,West Devon, ,256379,86998,-4.03356981,50.66487885,1161094497,246745.8818
88,E07000048,Christchurch, ,413093,96313,-1.81570005,50.76625061,50375654.62,64049.97504
89,E07000049,East Dorset, ,401685,109966,-1.97739995,50.8891716,354417949,138644.6873
90,E07000050,North Dorset, ,381794,113407,-2.26037002,50.91981888,609217912.8,158747.4234
91,E07000051,Purbeck, ,391183,88321,-2.12617993,50.69445038,404412420.3,218720.766
92,E07000052,West Dorset, ,357765,99663,-2.60061002,50.79497147,1081528617,286934.0686
93,E07000053,Weymouth and Portland, ,368175,81510,-2.45133996,50.63240051,41777984.39,72412.49508
94,E07000061,Eastbourne, ,559351,99605,0.258699,50.77413177,44159462.24,35287.07405
95,E07000062,Hastings, ,581599,110745,0.57942897,50.8676796,29724298.94,33473.52357
96,E07000063,Lewes, ,541474,105685,0.007671,50.83340836,292064213.4,167745.1221
97,E07000064,Rother, ,578730,119663,0.543064,50.94868088,511745166.3,177389.8364
98,E07000065,Wealden, ,555048,117173,0.205153,50.93315887,834998443.8,225322.2281
99,E07000066,Basildon, ,571548,190848,0.47505501,51.59035873,110025282.6,72081.04398
100,E07000067,Braintree, ,577253,227335,0.57591099,51.91633987,611707971.9,168686.5074
101,E07000068,Brentwood, ,558560,196070,0.29009101,51.64107895,153124047.1,72339.51238
102,E07000069,Castle Point, ,579490,187921,0.58808398,51.56159973,45070490.73,68031.23921
103,E07000070,Chelmsford, ,572115,206972,0.49116299,51.73503113,342251393.5,124434.9773
104,E07000071,Colchester, ,596944,223692,0.85977602,51.87701035,333184996.2,204996.6562
105,E07000072,Epping Forest, ,548919,203758,0.154147,51.71279144,338984128.7,123273.2073
106,E07000073,Harlow, ,545276,209589,0.103888,51.76613998,30537915.55,28515.47237
107,E07000074,Maldon, ,591460,212199,0.773857,51.77571106,358679810.5,336117.6179
108,E07000075,Rochford, ,585981,191420,0.68347299,51.59093094,169495487.2,179170.0969
109,E07000076,Tendring, ,614203,222163,1.10918295,51.85692978,337736722.6,227453.5881
110,E07000077,Uttlesford, ,557832,228865,0.294485,51.93592072,641182808.5,166508.4987
111,E07000078,Cheltenham, ,394925,222232,-2.07515001,51.89860916,46596068.33,38231.05764
112,E07000079,Cotswold, ,402125,208209,-1.97059,51.77254868,1164524417,332445.3173
113,E07000080,Forest of Dean, ,367175,212759,-2.47755003,51.81248856,526293440.1,188642.0482
114,E07000081,Gloucester, ,384071,216449,-2.23263001,51.84640884,40553087.56,33546.29337
115,E07000082,Stroud, ,378806,202410,-2.30819988,51.72000885,460650080.8,172430.2108
116,E07000083,Tewkesbury, ,386347,226279,-2.19998002,51.93484879,414414325.3,204835.8913
117,E07000084,Basingstoke and Deane, ,454508,151423,-1.22020996,51.2593689,633817171.8,143437.3665
118,E07000085,East Hampshire, ,474404,129237,-0.93971002,51.05765152,514432073.6,144540.7892
119,E07000086,Eastleigh, ,447202,116802,-1.32942998,50.94871902,79764223.94,74041.08487
120,E07000087,Fareham, ,453774,106324,-1.23741996,50.85393143,74239163.22,65036.42071
121,E07000088,Gosport, ,458773,101094,-1.16725004,50.80641174,25358122.26,38330.09028
122,E07000089,Hart, ,477985,154240,-0.88321,51.28197098,215265082,77847.80246
123,E07000090,Havant, ,470177,108563,-1.00399995,50.87229919,55372990.65,95966.57609
124,E07000091,New Forest, ,428999,106521,-1.58936,50.85747147,753040100.5,267188.3794
125,E07000092,Rushmoor, ,486022,153944,-0.76806998,51.27814865,39045039.4,31893.00461
126,E07000093,Test Valley, ,434930,137329,-1.50214005,51.13417053,627590329.8,189027.6303
127,E07000094,Winchester, ,453115,125901,-1.24392998,51.03002167,660974522.9,172255.481
128,E07000095,Broxbourne, ,534742,204251,-0.05073,51.72079849,51442302.97,39068.75201
129,E07000096,Dacorum, ,500084,208745,-0.55097997,51.76845169,212476401.7,110103.8175
130,E07000098,Hertsmere, ,519774,199352,-0.26899001,51.68016815,101128161,61228.14989
131,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.95737839,375382311.8,168316.8288
132,E07000102,Three Rivers, ,507313,196418,-0.45005,51.65631866,88824171.14,74112.61396
133,E07000103,Watford, ,510441,198197,-0.40428999,51.67169952,21430351.48,26392.34051
134,E07000105,Ashford, ,597640,140644,0.82337397,51.13095856,580617298.3,149446.5159
135,E07000106,Canterbury, ,616026,158096,1.09625697,51.28102875,308883626,131969.1527
136,E07000107,Dartford, ,556167,172917,0.245276,51.43373108,72764007.85,56215.60168
137,E07000108,Dover, ,628967,150940,1.27692902,51.21173859,315066065.3,139293.0447
138,E07000109,Gravesham, ,566969,169115,0.39874399,51.39649963,99020166.42,60505.29842
139,E07000110,Maidstone, ,580489,151670,0.58406103,51.23566055,393332659.9,122946.6461
140,E07000111,Sevenoaks, ,552776,155218,0.188936,51.27563095,370346869.3,134435.4992
141,E07000112,Shepway, ,610318,134597,1.00079596,51.07215118,356764729.2,148352.6919
142,E07000113,Swale, ,593761,161976,0.77952999,51.32387161,374466765.8,252595.0018
143,E07000114,Thanet, ,631844,166753,1.32829797,51.35253143,103338979.4,56839.12355
144,E07000115,Tonbridge and Malling, ,564014,153898,0.34930599,51.26063919,240125396.3,133528.5768
145,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.10253906,331328863.8,150590.4436
146,E07000117,Burnley, ,384886,430882,-2.23079991,53.7740593,110683999.2,57764.57975
147,E07000118,Chorley, ,359189,419724,-2.61921,53.67240143,202796541.3,102881.2731
148,E07000119,Fylde, ,339562,433812,-2.91901994,53.79710007,165770477.3,105571.1994
149,E07000120,Hyndburn, ,374407,428971,-2.38964009,53.75648117,72997476.89,42655.4999
150,E07000121,Lancaster, ,356896,464988,-2.66030002,54.07901001,576217409.7,322523.3438
151,E07000122,Pendle, ,387637,443368,-2.18956995,53.88636017,169380093.6,79243.78361
152,E07000123,Preston, ,352820,436429,-2.71816993,53.82199097,142293663.4,79082.71648
153,E07000124,Ribble Valley, ,372687,447676,-2.41739988,53.92449951,584471489.4,150500.0525
154,E07000125,Rossendale, ,382827,420955,-2.26149011,53.68478012,138040909.4,71149.8219
155,E07000126,South Ribble, ,352016,425840,-2.72872996,53.72674942,112955570.6,94375.04499
156,E07000127,West Lancashire, ,342611,413268,-2.8689301,53.61280823,346783945.3,156001.0445
157,E07000128,Wyre, ,347227,445159,-2.80462003,53.89990997,282147541.9,191451.2876
158,E07000129,Blaby, ,454385,297994,-1.19886994,52.5770607,130468678.1,100819.9691
159,E07000130,Charnwood, ,458365,316155,-1.13694,52.73989868,279042268.6,115474.36
160,E07000131,Harborough, ,474549,293875,-0.90228999,52.53765869,592692048,185950.9374
161,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41754997,52.60876846,297349279.7,111596.3297
162,E07000133,Melton, ,477328,323472,-0.85439998,52.80329132,481380516,140629.5968
163,E07000134,North West Leicestershire, ,439111,316252,-1.42209005,52.74250031,279328073.8,116453.1994
164,E07000135,Oadby and Wigston, ,461543,299379,-1.09300005,52.58874893,23526097.13,31172.04723
165,E07000136,Boston, ,526851,343953,-0.11218,52.97793961,364889915.8,156196.436
166,E07000137,East Lindsey, ,534862,376106,0.020549,53.26483154,1765004480,316615.7832
167,E07000138,Lincoln, ,496347,370096,-0.55848002,53.21921158,35690275.41,32969.88424
168,E07000139,North Kesteven, ,502135,354788,-0.47670001,53.08058167,922471384.7,181807.8549
169,E07000140,South Holland, ,532909,322928,-0.03058,52.78757858,750912063.5,198170.1152
170,E07000141,South Kesteven, ,501406,328986,-0.49564999,52.84885025,942585798.9,209816.4846
171,E07000142,West Lindsey, ,499314,390326,-0.50774002,53.40044022,1155731960,249630.8357
172,E07000143,Breckland, ,591015,303330,0.81871599,52.59421158,1305116643,239527.756
173,E07000144,Broadland, ,619865,315909,1.25233197,52.6962204,552400756.8,205126.3608
174,E07000145,Great Yarmouth, ,646760,315882,1.64949596,52.68439865,174470650.8,137814.4648
175,E07000146,King's Lynn and West Norfolk, ,571220,315805,0.53325802,52.71282959,1438842463,432722.2193
176,E07000147,North Norfolk, ,611083,330845,1.132195,52.83377838,964046162.7,357488.2748
177,E07000148,Norwich, ,622355,309773,1.28497899,52.64012909,39023519.54,52509.11988
178,E07000149,South Norfolk, ,628991,295823,1.37324798,52.51218033,907705134.5,258370.0281
179,E07000150,Corby, ,487862,290681,-0.7069,52.50696945,80280901.17,66291.62232
180,E07000151,Daventry, ,467286,268437,-1.01446998,52.30994034,665600467.5,181982.9295
181,E07000152,East Northamptonshire, ,501344,287839,-0.50919998,52.47909164,509787257.1,163229.1028
182,E07000153,Kettering, ,483866,282852,-0.76773,52.43722916,233489925.8,100689.5454
183,E07000154,Northampton, ,476495,260539,-0.88121003,52.23775101,80771938.69,46341.52574
184,E07000155,South Northamptonshire, ,463000,247077,-1.08129001,52.11843872,634023186.1,225304.6651
185,E07000156,Wellingborough, ,487787,266827,-0.71425003,52.29257965,163036492.5,69758.42397
186,E07000163,Craven, ,389513,461989,-2.16167998,54.05376053,1178807438,199883.7979
187,E07000164,Hambleton, ,443009,490546,-1.34048998,54.30871964,1311228140,298519.8655
188,E07000165,Harrogate, ,427473,464652,-1.58160996,54.07707977,1309127598,246964.6321
189,E07000166,Richmondshire, ,401039,495786,-1.98552001,54.3576088,1318707280,221710.0845
190,E07000167,Ryedale, ,475590,478890,-0.84276998,54.20021057,1506593777,249894.2389
