objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
191,E07000168,Scarborough, ,495797,495547,-0.52780002,54.34648895,816487078.4,243175.893
192,E07000169,Selby, ,457551,426670,-1.12908006,53.73326874,599310807.9,264869.3006
193,E07000170,Ashfield, ,450035,355843,-1.25422001,53.09746933,109557941.4,69174.86556
194,E07000171,Bassetlaw, ,468073,384835,-0.97869998,53.35604095,637803647.5,159734.78
195,E07000172,Broxtowe, ,449829,341893,-1.25943995,52.9720993,80098837.29,65999.84199
196,E07000173,Gedling, ,459184,347811,-1.11907005,53.02434158,119981504.3,69754.67303
197,E07000174,Mansfield, ,455047,363637,-1.17804003,53.16703033,76696898.54,51090.83278
198,E07000175,Newark and Sherwood, ,470624,357451,-0.94643003,53.10960007,651340471,187422.4924
199,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.91239929,409231535.8,123324.4007
200,E07000177,Cherwell, ,449301,221201,-1.28506005,51.8871994,588741175.3,225626.2193
201,E07000178,Oxford, ,452277,206368,-1.24405003,51.75357056,45602907.7,34999.66749
202,E07000179,South Oxfordshire, ,463890,191964,-1.07846999,51.62287903,678537177.6,205361.6879
203,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.65443039,578644523,175938.6281
204,E07000181,West Oxfordshire, ,434343,215816,-1.50292003,51.83990097,714422025.8,160247.8599
205,E07000187,Mendip, ,362238,144090,-2.54177999,51.19475937,739435423.9,198850.0471
206,E07000188,Sedgemoor, ,338426,143997,-2.88250995,51.19184875,564358328.3,243393.7058
207,E07000189,South Somerset, ,345633,120798,-2.7758801,50.98398972,959040236.8,241317.0754
208,E07000190,Taunton Deane, ,318327,123470,-3.16542006,51.00479126,462366991.3,174002.4182
209,E07000191,West Somerset, ,294768,136702,-3.50494003,51.11989975,726897629.4,176561.8911
210,E07000192,Cannock Chase, ,401261,311553,-1.98276997,52.70166016,78882572.18,50127.6145
211,E07000193,East Staffordshire, ,412601,326569,-1.81438005,52.8365097,389985154.6,183775.7543
212,E07000194,Lichfield, ,416283,310967,-1.76048994,52.69615173,331294324,127468.4201
213,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32630992,53.00344849,210957319.2,108259.277
214,E07000196,South Staffordshire, ,389625,311037,-2.1549499,52.69691849,407322251.8,184894.3387
215,E07000197,Stafford, ,389001,327836,-2.1647501,52.84791946,598172230.4,159078.8187
216,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334002,53.06924057,575849816.6,152448.1507
217,E07000199,Tamworth, ,421455,302550,-1.68450999,52.62031174,30850716.54,30730.06281
218,E07000200,Babergh, ,599994,244657,0.91623098,52.06417847,595214511.7,190631.8501
219,E07000201,Forest Heath, ,572316,273586,0.52760601,52.33330917,377710784.7,146442.9826
220,E07000202,Ipswich, ,616954,244670,1.16326702,52.05791855,39522487.73,44885.15551
221,E07000203,Mid Suffolk, ,611646,262338,1.09695303,52.21858978,871070646.3,191154.66
222,E07000204,St Edmundsbury, ,582672,265927,0.675273,52.26118088,656964998.7,204397.3932
223,E07000205,Suffolk Coastal, ,633247,258767,1.41014194,52.17782974,891729651.3,388971.7665
224,E07000206,Waveney, ,642301,287890,1.56323695,52.43524933,370131707,158465.5512
225,E07000207,Elmbridge, ,511882,163658,-0.39441001,51.36098099,96334280.05,52206.10754
226,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.33945084,34079154.18,28503.71341
227,E07000209,Guildford, ,500408,151481,-0.56256998,51.25365829,270931192.2,128414.4851
228,E07000210,Mole Valley, ,518377,148953,-0.30603001,51.22748947,258320947.9,105403.1646
229,E07000211,Reigate and Banstead, ,525786,152574,-0.19870999,51.258461,129143924.8,79923.67893
230,E07000212,Runnymede, ,501777,166979,-0.53855002,51.39273071,78040685.63,45677.41212
231,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41551971,51161362.93,44134.53496
232,E07000214,Surrey Heath, ,491362,160483,-0.68985999,51.33610153,95092958.47,53559.73487
233,E07000215,Tandridge, ,536365,150325,-0.04805,51.23580933,248194570.2,83136.91919
234,E07000216,Waverley, ,496363,140635,-0.62343001,51.15686035,345170236.5,125436.0572
235,E07000217,Woking, ,499087,157542,-0.57981998,51.30836868,63603602.68,54781.48782
236,E07000218,North Warwickshire, ,425570,296399,-1.62419999,52.56483841,284263708.2,113280.7103
237,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965002,52.50093842,78950290.99,48148.71007
238,E07000220,Rugby, ,446498,276244,-1.31827998,52.38227844,353557278.1,115093.602
239,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565004,52.16154099,977869054.9,261384.0787
240,E07000222,Warwick, ,428484,267113,-1.58369005,52.3014183,282882320.7,116717.4606
241,E07000223,Adur, ,518065,106473,-0.32433,50.84572983,41929796.03,56705.31935
242,E07000224,Arun, ,495145,105724,-0.64998001,50.84320831,220932574.2,153690.8951
243,E07000225,Chichester, ,490285,116600,-0.71630001,50.94176865,786216143.6,243042.2816
244,E07000226,Crawley, ,526390,137581,-0.19532999,51.12356949,44971204.89,38799.72311
245,E07000227,Horsham, ,513676,123839,-0.38123,51.00270844,530270863.7,212479.955
246,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.05952835,334029221,132912.3638
247,E07000229,Worthing, ,512679,104948,-0.40127,50.83309937,32521824.48,29411.59181
248,E07000234,Bromsgrove, ,399840,273736,-2.0037601,52.36169052,216968485.3,113135.4643
249,E07000235,Malvern Hills, ,377465,252197,-2.33088994,52.16757965,577070983.7,230605.7719
250,E07000236,Redditch, ,403705,265253,-1.94710004,52.28541183,54250912.48,41301.81949
251,E07000237,Worcester, ,385725,255196,-2.2102499,52.1948204,33278124.58,31263.04494
252,E07000238,Wychavon, ,398991,247839,-2.01613998,52.12886047,663541968.8,219520.1116
253,E07000239,Wyre Forest, ,384106,276388,-2.23494005,52.38529968,195403717.6,100867.388
254,E07000240,St Albans, ,514580,209623,-0.3407,51.77355957,161205876.8,72946.35277
255,E07000241,Welwyn Hatfield, ,525345,208467,-0.18517999,51.76087189,129536895.6,82392.08188
256,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.86484909,475669219.5,135188.9354
257,E07000243,Stevenage, ,524622,224531,-0.18987,51.90539169,25969241.77,28588.26042
258,E08000001,Bolton, ,368352,409873,-2.47952008,53.58449173,139792045.3,82647.14426
259,E08000002,Bury, ,379658,410768,-2.30879998,53.5931015,99460125.4,68541.78252
260,E08000003,Manchester, ,384591,397063,-2.23358989,53.47008896,115648228.8,86851.20585
261,E08000004,Oldham, ,396603,406784,-2.0527401,53.55767822,142344915.5,71165.73847
262,E08000005,Rochdale, ,390315,412326,-2.14784002,53.60741043,158128177.1,82713.09583
263,E08000006,Salford, ,374556,398128,-2.38485003,53.47927094,97197279.25,63268.77908
264,E08000007,Stockport, ,391806,388264,-2.12467003,53.39115906,126040274.7,73638.79909
265,E08000008,Tameside, ,394987,397995,-2.0769999,53.47866821,103154301.3,55989.05921
266,E08000009,Trafford, ,375790,391162,-2.36572003,53.4167099,106044772.7,60712.76984
267,E08000010,Wigan, ,362136,402126,-2.57246995,53.51445007,188171008.9,88690.47642
268,E08000011,Knowsley, ,344762,393778,-2.8329699,53.43788147,86500062.57,68167.37262
269,E08000012,Liverpool, ,339361,390553,-2.91364002,53.40829849,111835574.2,62700.01117
270,E08000013,St. Helens, ,353412,395992,-2.70309997,53.45861816,136358792.2,76387.01956
271,E08000014,Sefton, ,334264,398832,-2.99203992,53.48210144,154990925.1,120319.8706
272,E08000015,Wirral, ,329242,386937,-3.06502008,53.37453842,157046391,75205.157
273,E08000016,Barnsley, ,429979,403327,-1.54925001,53.52576828,329077594,126421.1525
274,E08000017,Doncaster, ,459167,403735,-1.10894001,53.52696991,568022259.8,171070.3432
275,E08000018,Rotherham, ,447542,388980,-1.28650999,53.3955307,286534366.8,106151.9765
276,E08000019,Sheffield, ,430511,389736,-1.54253995,53.40357971,367930016.9,132837.3186
277,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65296996,55.02101135,113456193.2,65248.53733
278,E08000022,North Tyneside, ,431471,570602,-1.50923002,55.02896118,82317114.08,65430.6327
279,E08000023,South Tyneside, ,435503,564057,-1.44695997,54.96987915,64394240.17,51107.30549
280,E08000024,Sunderland, ,436470,551525,-1.43343997,54.85720062,137438866.6,99859.40427
281,E08000025,Birmingham, ,408150,287352,-1.88141,52.48403931,267791070.6,106260.7235
282,E08000026,Coventry, ,432807,279689,-1.51908004,52.41423035,98639059.98,54057.37967
283,E08000027,Dudley, ,393191,288584,-2.10171008,52.49512863,97958243.93,75382.34184
284,E08000028,Sandwell, ,399573,290764,-2.00770998,52.51477051,85558926.92,59211.00146
285,E08000029,Solihull, ,419434,281483,-1.71557999,52.43099976,178282113.3,101031.4292
286,E08000030,Walsall, ,402098,300804,-1.97044003,52.60503006,103973544.8,59405.30302
287,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.59788132,69436705.07,56059.00644
288,E08000032,Bradford, ,408395,438626,-1.87389004,53.84381866,366419737.4,135920.5984
289,E08000033,Calderdale, ,402617,424896,-1.96182001,53.72048187,363960993.9,107687.4323
290,E08000034,Kirklees, ,414586,416223,-1.78085005,53.64233017,408551665.2,125668.4878
291,E08000035,Leeds, ,432528,436384,-1.50735998,53.82273102,551706535,161521.884
292,E08000036,Wakefield, ,438366,418235,-1.42092001,53.65922165,338619732.9,109447.3298
293,E08000037,Gateshead, ,420168,559658,-1.6868,54.93119812,142359275.7,89672.00816
294,E09000001,City of London, ,532382,181358,-0.09351,51.51564026,2903926.48,9249.719854
295,E09000002,Barking and Dagenham, ,547759,185107,0.12950601,51.54552078,36107810.58,40695.65776
296,E09000003,Barnet, ,523472,191753,-0.21821,51.61108017,86748325.31,50818.5588
297,E09000004,Bexley, ,549202,175433,0.146212,51.45820999,60576271.66,45157.8501
298,E09000005,Brent, ,519615,186468,-0.27568001,51.56441116,43232646.08,38334.11966
299,E09000006,Bromley, ,542036,165708,0.039246,51.37266922,150134860.1,76164.24008
300,E09000007,Camden, ,527492,184284,-0.16289,51.5430603,21789299.33,26150.82358
301,E09000008,Croydon, ,533922,164745,-0.07761,51.36597824,86494440.11,58703.92995
302,E09000009,Ealing, ,517057,181960,-0.31406999,51.52442932,55544347.54,47439.03778
303,E09000010,Enfield, ,532829,196197,-0.08147,51.64888,82200190.69,41064.64755
304,E09000011,Greenwich, ,542508,175881,0.050108,51.46395874,47334078.17,47611.33207
305,E09000012,Hackney, ,534560,185787,-0.06045,51.5549202,19049030.68,25382.83596
306,E09000013,Hammersmith and Fulham, ,523866,177998,-0.21736,51.48736954,16397617.11,23940.36319
307,E09000014,Haringey, ,531262,189349,-0.10667,51.58771133,29598384.46,29025.17864
308,E09000015,Harrow, ,515356,189736,-0.33603001,51.59466934,50463307.18,33735.4624
309,E09000016,Havering, ,555032,187514,0.235368,51.56518936,112349655.1,63559.58411
310,E09000017,Hillingdon, ,508166,183120,-0.44182,51.53662872,115700539,63887.01745
311,E09000018,Hounslow, ,512744,174965,-0.37843999,51.46242905,55977913.5,61322.56047
312,E09000019,Islington, ,531158,184647,-0.10992,51.54547882,14856651.32,20727.86144
313,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.49644089,12123860.18,20973.8304
314,E09000021,Kingston upon Thames, ,519508,167389,-0.28367001,51.39295959,37261180.56,37553.13877
315,E09000022,Lambeth, ,531118,175626,-0.11385,51.46442032,26810033.99,33856.85627
316,E09000023,Lewisham, ,537889,173344,-0.01733,51.44231033,35149083.44,41169.65608
317,E09000024,Merton, ,526069,169507,-0.18866999,51.41056824,37624740.31,32349.07636
318,E09000025,Newham, ,540721,183327,0.027369,51.53131866,36201724.51,34939.92649
319,E09000026,Redbridge, ,543512,189478,0.070085,51.58589172,56419220.13,48674.24778
320,E09000027,Richmond upon Thames, ,519005,172648,-0.28913999,51.44033051,57406783.59,67768.34946
321,E09000028,Southwark, ,533945,175863,-0.07309,51.46588898,28862036.05,34210.66975
322,E09000029,Sutton, ,527356,163640,-0.17227,51.3575592,43846967.81,39844.4248
323,E09000030,Tower Hamlets, ,536345,181451,-0.0364,51.51552963,19786307.75,28568.34977
324,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.59460831,38807959.63,33339.3575
325,E09000032,Wandsworth, ,525152,174137,-0.20021001,51.45238876,34263365,38675.53037
326,E09000033,Westminster, ,528268,180871,-0.15295,51.51221085,21486970.05,27304.25847
327,S12000005,Clackmannanshire, ,291159,696335,-3.7534399,56.14723969,158972114.6,94185.45718
328,S12000006,Dumfries and Galloway, ,270645,579857,-4.02862978,55.09621811,6437604835,1148244.062
329,S12000008,East Ayrshire, ,255398,624935,-4.29056978,55.49673843,1270341778,340970.9131
330,S12000010,East Lothian, ,354854,672351,-2.72434998,55.94207001,679179837.4,200290.3254
331,S12000011,East Renfrewshire, ,251929,653115,-4.36059999,55.74868011,174249497.7,93882.5138
332,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65721989,58.19937897,3099789495,3929819.321
333,S12000014,Falkirk, ,289661,679536,-3.77060008,55.99604034,297365616.8,145018.6996
334,S12000015,Fife, ,339197,704726,-2.98235011,56.23117065,1325025031,342893.5507
335,S12000017,Highland, ,241026,858306,-4.66091013,57.586689,26162799384,5261281.854
336,S12000018,Inverclyde, ,227922,670899,-4.75387001,55.90034866,161960766.1,79800.31527
337,S12000019,Midlothian, ,330088,659217,-3.1173799,55.82110977,355271570.5,126470.8516
338,S12000020,Moray, ,328024,843593,-3.20186996,57.47682953,2237581330,437925.1062
339,S12000021,North Ayrshire, ,228984,651640,-4.7247901,55.72787857,885413970.5,350824.4014
340,S12000023,Orkney Islands, ,348291,1006584,-2.90028,58.9433403,1013345938,1224811.447
341,S12000024,Perth and Kinross, ,284304,744186,-3.88479996,56.57529068,5383770074,619552.6533
342,S12000026,Scottish Borders, ,345891,626135,-2.85865998,55.52593994,4739182465,514890.0129
343,S12000027,Shetland Islands, ,434516,1180307,-1.37344003,60.50495148,1469089321,2382990.475
344,S12000028,South Ayrshire, ,226544,596270,-4.72901011,55.23006821,1224112992,331901.7418
345,S12000029,South Lanarkshire, ,284634,636071,-3.83272004,55.60453033,1773897202,284527.3127
346,S12000030,Stirling, ,255980,708769,-4.32595015,56.24953079,2253344414,341963.162
347,S12000033,Aberdeen City, ,387763,808478,-2.20397997,57.1669693,185692364.5,126120.2547
348,S12000034,Aberdeenshire, ,352286,816276,-2.79204988,57.23468018,6317961087,801585.9484
349,S12000035,Argyll and Bute, ,200740,715442,-5.22113991,56.28942871,7007704876,3826979.185
350,S12000036,City of Edinburgh, ,320193,669416,-3.27825999,55.91119003,263351792.1,108121.087
351,S12000038,Renfrewshire, ,239305,664698,-4.56833982,55.84862137,261487655.6,131630.7834
352,S12000039,West Dunbartonshire, ,242904,681587,-4.52074003,56.00141144,177306047.9,100567.9766
353,S12000040,West Lothian, ,299483,668514,-3.60909009,55.89920044,428772095.9,134896.6189
354,S12000041,Angus, ,345518,759594,-2.89189005,56.72480011,2185172676,319856.7378
355,S12000042,Dundee City, ,340291,732145,-2.97094989,56.4776001,59830969.44,46805.9626
356,S12000044,North Lanarkshire, ,277984,665608,-3.95140004,55.86814117,472216142.9,164226.5948
357,S12000045,East Dunbartonshire, ,261240,676154,-4.22417021,55.9582901,174489016.8,99603.03071
358,S12000046,Glasgow City, ,261534,667033,-4.21478987,55.87649155,174705533.6,136108.2771
359,W06000001,Isle of Anglesey,Ynys Môn,245222,378346,-4.32290983,53.27944946,714458085.9,361684.6038
360,W06000002,Gwynedd,Gwynedd,277968,334967,-3.8155899,52.89825821,2548075153,585237.6443
361,W06000003,Conwy,Conwy,283293,362562,-3.74645996,53.14738846,1130191391,273510.9329
362,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.08832932,838544271.5,228400.9775
363,W06000005,Flintshire,Sir y Fflint,321564,369303,-3.17604995,53.21498108,437490023.6,197537.2849
364,W06000006,Wrexham,Wrecsam,333523,345387,-2.99202991,53.00167084,503773486.6,190056.9439
365,W06000008,Ceredigion,Ceredigion,267126,268437,-3.94993997,52.29795074,1789001593,373806.6836
366,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.90818024,51.85512161,1618677383,726409.5614
367,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111001,51.89495087,2371133061,564480.6888
368,W06000011,Swansea,Abertawe,264022,197308,-3.96723008,51.65805817,379659110.3,271926.4526
369,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638009,51.64450073,442335439.1,172778.836
370,W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868,-3.61359,51.56058121,250730335.7,90598.13585
371,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083,-3.39803004,51.44837952,331192712.9,106758.4825
372,W06000015,Cardiff,Caerdydd,315270,178887,-3.22212005,51.50254059,142287247,79678.49069
373,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41358995,51.62184906,424150424.9,130240.6817
374,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753003,51.65000916,277387812.9,116205.7432
375,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75363922,108728054.4,65601.73361
376,W06000020,Torfaen,Torfaen,327459,200480,-3.05100989,51.69836044,126239928.8,82544.79379
377,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.90280008,51.77827072,850271715.6,223993.1469
378,W06000022,Newport,Casnewydd,337897,187433,-2.89769006,51.58232117,190524786,153277.2978
379,W06000023,Powys,Powys,302328,273254,-3.43532991,52.348629,5195320916,610110.6534
380,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36424994,51.74858093,111957017.2,66696.94613